,vehicle_id,time,longitude,latitude
0,0,01,755.6,385.13
1,0,02,760.22,385.3
2,0,03,767.01,385.56
3,0,04,775.2,385.86
4,0,05,784.77,386.21
5,0,06,796.55,386.65
6,0,07,806.27,387.01
7,0,08,811.88,387.22
8,0,09,815.58,387.3
9,0,10,816.82,385.09
10,0,11,813.67,384.08
11,0,12,808.64,383.89
12,0,13,801.97,383.64
13,0,14,793.43,383.33
14,0,15,783.37,382.96
15,0,16,771.35,382.52
16,1,16,409.32,20.06
17,0,17,758.02,382.03
18,1,17,408.86,31.84
19,0,18,743.41,381.48
20,1,18,408.41,43.77
21,0,19,731.53,381.05
22,1,19,407.95,55.65
23,0,20,724.13,380.91
24,1,20,407.46,68.62
25,0,21,715.22,383.51
26,1,21,406.98,81.11
27,0,22,711.74,391.82
28,1,22,406.49,93.94
29,0,23,711.07,401.37
30,1,23,406.0,106.86
31,0,24,710.7,412.36
32,1,24,405.51,119.71
33,0,25,710.24,425.65
34,1,25,405.05,131.64
35,0,26,709.7,440.39
36,1,26,404.57,144.12
37,0,27,709.08,457.27
38,1,27,404.09,156.71
39,0,28,708.38,476.35
40,1,28,403.6,169.7
41,0,29,707.58,497.73
42,1,29,403.13,181.89
43,0,30,706.74,519.99
44,1,30,402.64,194.59
45,0,31,705.9,542.81
46,1,31,402.17,207.09
47,0,32,705.05,566.09
48,1,32,401.71,218.95
49,2,32,592.8,832.36
50,0,33,704.34,588.36
51,1,33,401.25,231.06
52,2,33,593.41,819.23
53,0,34,703.83,611.41
54,1,34,400.76,243.82
55,2,34,593.92,805.28
56,0,35,703.12,634.85
57,1,35,400.3,255.63
58,2,35,594.42,791.83
59,0,36,702.03,657.44
60,1,36,399.79,268.51
61,2,36,594.89,779.1
62,0,37,701.57,680.94
63,1,37,399.27,281.25
64,2,37,595.37,766.08
65,0,38,700.54,703.24
66,1,38,398.75,294.14
67,2,38,595.84,753.32
68,0,39,700.07,725.5
69,1,39,398.26,306.29
70,2,39,596.33,740.31
71,0,40,699.11,747.86
72,1,40,397.76,318.5
73,2,40,596.8,727.39
74,0,41,698.29,771.35
75,1,41,397.27,330.61
76,2,41,597.28,714.62
77,0,42,697.48,794.71
78,1,42,396.76,343.3
79,2,42,597.79,700.71
80,0,43,696.69,817.34
81,1,43,396.27,355.21
82,2,43,598.3,687.0
83,0,44,696.07,839.77
84,1,44,395.76,367.85
85,2,44,598.77,674.12
86,0,45,694.76,862.74
87,1,45,395.28,379.76
88,2,45,599.28,660.54
89,0,46,693.56,885.48
90,1,46,394.76,392.37
91,2,46,599.77,646.74
92,0,47,692.66,908.01
93,1,47,394.26,404.83
94,2,47,600.21,633.2
95,0,48,691.8,930.48
96,1,48,393.94,412.78
97,2,48,600.61,620.39
98,3,48,675.1,270.51
99,0,49,691.18,953.4
100,1,49,394.05,419.33
101,2,49,601.59,607.31
102,3,49,677.13,270.59
103,0,50,689.93,976.23
104,1,50,397.53,424.59
