,vehicle_id,time,latitude,longitude
0,0,1,385.13,755.6
1,0,2,385.3,760.22
2,0,3,385.56,767.01
3,0,4,385.86,775.2
4,0,5,386.21,784.77
5,0,6,386.65,796.55
6,0,7,387.01,806.27
7,0,8,387.22,811.88
8,0,9,387.3,815.58
9,0,10,385.09,816.82
10,0,11,384.08,813.67
11,0,12,383.89,808.64
12,0,13,383.64,801.97
13,0,14,383.33,793.43
14,0,15,382.96,783.37
15,0,16,382.52,771.35
16,1,16,20.06,409.32
17,0,17,382.03,758.02
18,1,17,31.84,408.86
19,0,18,381.48,743.41
20,1,18,43.77,408.41
21,0,19,381.05,731.53
22,1,19,55.65,407.95
23,0,20,380.91,724.13
24,1,20,68.62,407.46
25,0,21,383.51,715.22
26,1,21,81.11,406.98
27,0,22,391.82,711.74
28,1,22,93.94,406.49
29,0,23,401.37,711.07
30,1,23,106.86,406
31,0,24,412.36,710.7
32,1,24,119.71,405.51
33,0,25,425.65,710.24
34,1,25,131.64,405.05
35,0,26,440.39,709.7
36,1,26,144.12,404.57
37,0,27,457.27,709.08
38,1,27,156.71,404.09
39,0,28,476.35,708.38
40,1,28,169.7,403.6
41,0,29,497.73,707.58
42,1,29,181.89,403.13
43,0,30,519.99,706.74
44,1,30,194.59,402.64
45,0,31,542.81,705.9
46,1,31,207.09,402.17
47,0,32,566.09,705.05
48,1,32,218.95,401.71
49,2,32,832.3,592.8
50,0,33,588.36,704.34
51,1,33,231.06,401.25
52,2,33,819.23,593.41
53,0,34,611.41,703.83
54,1,34,243.82,400.76
55,2,34,805.28,593.92
56,0,35,634.85,703.12
57,1,35,255.63,400.3
58,2,35,791.83,594.42
59,0,36,657.44,702.03
60,1,36,268.51,399.79
61,2,36,779.1,594.89
62,0,37,680.94,701.57
63,1,37,281.25,399.27
64,2,37,766.08,595.37
65,0,38,703.24,700.54
66,1,38,294.14,398.75
67,2,38,753.32,595.84
68,0,39,725.5,700.07
69,1,39,306.29,398.26
70,2,39,740.31,596.33
71,0,40,747.86,699.11
72,1,40,318.5,397.76
73,2,40,727.39,596.8
74,0,41,771.35,698.29
75,1,41,330.61,397.27
76,2,41,714.62,597.28
77,0,42,794.71,697.48
78,1,42,343.3,396.76
